notes,countryPublicId,operation_type,contact_phone,isArchived,timezone,approach_channel_depth,latitude,terminalComplexPublicId,description,terminal_type_public_id,isActive,countryId,operator,contact_email,legacyCountryCode,pilotage_required,capacity_mtpa,number_of_tanks,sitePublicId,archivedReason,longitude,website,storage_capacity,loading_rate,formsNotes,tugs_available,productTypeRefPublicId,archivedAt,productTypeRefId,port,legacyCountryName,tenantId,name,procedureNotes,siteId,terminal_type_id,terminalComplexId,publicId,status,id,created_date,updated_date,created_by_id,created_by,is_sample
"","550e8400-e29b-41d4-a716-446655440004","Import","+31 (0)181 799 000","false","UTC+1","","51.971111","","","","true","6953a6fd33c70a0c53172815","","info@gateterminal.com","","false","","","","","4.068889","www.gateterminal.com/en/gate-terminal/","","","","false","4a7daa89-ff50-4138-871c-e714924e1cc6","","695d8e3cb5307c17c017c81c","Gate","Netherlands","default-tenant","Gate LNG","","","LNG","","7c98b593-66b9-4602-848c-8b06397da5d0","Operational","697b3beb704acf2a3aef53da","2026-01-29T10:52:27.869000","2026-01-29T10:52:27.869000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"","7b804711-06ca-45f4-a652-e966c22b1126","Export","+675 309 7111","false","UTC+10","","-9.33862","","","","true","6953a8d314d9fb17da981894","","","","false","","","","","147.01825","www.pnglng.com/","","","","false","4a7daa89-ff50-4138-871c-e714924e1cc6","","695d8e3cb5307c17c017c81c","PNG","Papua New Guinea","default-tenant","PNG LNG","","","LNG","","88d4d5ca-1abb-413f-bb27-d4da1dcfe69d","Operational","697b3beb704acf2a3aef53db","2026-01-29T10:52:27.869000","2026-01-29T10:52:27.869000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"","ef6c416e-c9b8-4098-8f96-df3f0e6c6fa5","Import","","false","UTC-8","","31.988557","","","","true","6953a8d314d9fb17da981870","","","","false","","","","","-116.846466","www.energiacostaazul.com.mx/","","","","false","4a7daa89-ff50-4138-871c-e714924e1cc6","","695d8e3cb5307c17c017c81c","Energia Costa Azul","Mexico","default-tenant","Energia Costa Azul LNG","","","LNG","","3229740b-6b56-479b-be65-5a48f46bc089","Operational","697b3beb704acf2a3aef53dc","2026-01-29T10:52:27.869000","2026-01-29T10:52:27.869000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"","369dadf3-ee56-40fe-96d8-0f77997bdce3","Export","","false","UTC+1","","0","","","","true","6953a8d314d9fb17da981885","","","","false","","","","","0","","","","","false","4a7daa89-ff50-4138-871c-e714924e1cc6","","695d8e3cb5307c17c017c81c","NLNG","Nigeria","default-tenant","Bonny (NLNG)","","","NLNG","","317165f1-2d15-4c2c-b8c2-ab3cad6589a3","Operational","697b3beb704acf2a3aef53dd","2026-01-29T10:52:27.869000","2026-01-29T10:52:27.869000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"","2e8d4609-fd52-437c-85c0-c0eb00e6fc34","Import","","false","UTC+1","","53.909167","","","","true","6953a8d314d9fb17da981895","","","","false","","","","","14.294722","www.gaz-system.pl/en/terminal-lng.html","","","","false","4a7daa89-ff50-4138-871c-e714924e1cc6","","695d8e3cb5307c17c017c81c","Swinoujscie","Poland","default-tenant","President Lech Kaczynski's LNG Terminal","","","LNG","","c9b0279e-9b77-4d2b-9895-7444b3393f25","Operational","697b3beb704acf2a3aef53de","2026-01-29T10:52:27.869000","2026-01-29T10:52:27.869000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"","60716f8c-21d8-48c4-89c6-cf79fac2b542","Export","+968 24 609999","false","UTC+4","","22.6586","","","","true","6953a8d314d9fb17da98188d","","","","false","","","","","59.40748","","","","","false","4a7daa89-ff50-4138-871c-e714924e1cc6","","695d8e3cb5307c17c017c81c","Qalhat","Oman","default-tenant","Qalhat","","","LNG","","3c72996e-0628-4c4c-ba95-181e69f9389d","Operational","697b3beb704acf2a3aef53df","2026-01-29T10:52:27.869000","2026-01-29T10:52:27.869000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"","1c18f788-d487-470b-900d-7821fde17d1c","Import","","false","UTC+8","","2.2444375","","","","true","6953a8d314d9fb17da98187f","Petroliam Nasional","pgb.marketing@petronas.com","","false","3.8","","","","102.1234396","https://www.petronas.com/pgb/our-business/regasification","","","","false","4a7daa89-ff50-4138-871c-e714924e1cc6","","695d8e3cb5307c17c017c81c","Sungai Udang","Malaysia","default-tenant","Melaka FSRU","","","FSRU","","fbe3cd10-7c3f-46ce-a93c-3ac192ef694e","Operational","697b3beb704acf2a3aef53e0","2026-01-29T10:52:27.869000","2026-01-29T10:52:27.869000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"","f84447ae-1b75-40aa-94b2-e8f270612276","Export","","false","UTC+3","","25.9146","","","","true","6953a8d314d9fb17da98189c","","","","false","","","","","51.5564","www.qatarenergylng.qa/english/operations/ras-laffan-industrial-city","","","","false","4a7daa89-ff50-4138-871c-e714924e1cc6","","695d8e3cb5307c17c017c81c","Ras Laffan","Qatar","default-tenant","Ras Laffan","","","LNG","","c57b6321-67b0-4cbf-8689-ec457e650162","Operational","697b3beb704acf2a3aef53e1","2026-01-29T10:52:27.869000","2026-01-29T10:52:27.869000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"","2d0409e3-4fed-42cd-82c3-18af9c5889e1","Import","","false","UTC+1","","35.8277","","","","true","6953a8d314d9fb17da981874","Reganosa","","","false","0.5","","","","14.5542","","","","","false","4a7daa89-ff50-4138-871c-e714924e1cc6","","695d8e3cb5307c17c017c81c","Delimara","Malta","default-tenant","Delimara Malta (FSU)","","","FSU","","540d22df-7f52-4094-9468-5ef4545ca672","Operational","697b3beb704acf2a3aef53e2","2026-01-29T10:52:27.869000","2026-01-29T10:52:27.869000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"","550e8400-e29b-41d4-a716-446655440006","Export","","false","UTC+1","","70.6854","","","","true","6953a6fd33c70a0c53172817","","","","false","","","","","23.59","","","","","false","4a7daa89-ff50-4138-871c-e714924e1cc6","","695d8e3cb5307c17c017c81c","Hammerfest","Norway","default-tenant","Hammerfest LNG","","","LNG","","6fc7a2a1-1ffd-48a0-96ed-7c964980ea7d","Operational","697b3beb704acf2a3aef53e3","2026-01-29T10:52:27.869000","2026-01-29T10:52:27.869000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
