code,notes,sortOrder,tenantId,name,isCryogenic,isActive,publicId,productCategory,id,created_date,updated_date,created_by_id,created_by,is_sample
"CHEMICALS","","11","default-tenant","Chemicals","false","true","cab70bc1-2ee0-4ab2-9447-5393fc8c357f","LIQUID_BULK","69844bc167808c0c8bca85c5","2026-02-05T07:50:25.979000","2026-02-05T07:50:25.979000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"LIQUID_BULK","","10","default-tenant","Liquid Bulk (Oil / Products)","false","true","1b349d99-dd5a-4da0-9f75-8fc7d1d770fe","LIQUID_BULK","69844bc167808c0c8bca85c6","2026-02-05T07:50:25.979000","2026-02-05T07:50:25.979000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"LNG_BUNKERING","","3","default-tenant","LNG Bunkering","true","true","6e598a02-1a11-4977-89bc-2a199d69d0d3","GAS","69844bc167808c0c8bca85c7","2026-02-05T07:50:25.979000","2026-02-05T07:50:25.979000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"LPG","","2","default-tenant","Liquefied Petroleum Gas","true","true","025a59ca-e04c-4451-aac1-91b39a0d0872","GAS","69844bc167808c0c8bca85c8","2026-02-05T07:50:25.979000","2026-02-05T07:50:25.979000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"LNG","","1","default-tenant","Liquefied Natural Gas","true","true","4a7daa89-ff50-4138-871c-e714924e1cc6","GAS","69844bc167808c0c8bca85c9","2026-02-05T07:50:25.979000","2026-02-05T07:50:25.979000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"MULTIPURPOSE","","120","default-tenant","Multipurpose","false","true","5c1d4115-2e1e-45b0-bc9a-9aae820be7e1","OTHER","69844bc167808c0c8bca85bb","2026-02-05T07:50:25.978000","2026-02-05T07:50:25.978000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"PROJECT_BREAKBULK","","110","default-tenant","Project & Breakbulk","false","true","60b826bf-130e-46cb-9879-5e06af9e6c74","OTHER","69844bc167808c0c8bca85bc","2026-02-05T07:50:25.978000","2026-02-05T07:50:25.978000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"GENERAL_CARGO","","100","default-tenant","General Cargo","false","true","53a9817b-6192-4457-8baf-9199b99a0d43","OTHER","69844bc167808c0c8bca85bd","2026-02-05T07:50:25.978000","2026-02-05T07:50:25.978000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"OTHER","","4","default-tenant","Other","false","true","2c4b70a0-c07f-4171-a4d5-34094c09888b","GAS","69844bc167808c0c8bca85be","2026-02-05T07:50:25.978000","2026-02-05T07:50:25.978000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"CONDENSATE","","3","default-tenant","Condensate","false","true","fb8ef325-b8c3-4680-b3ea-baaa810bc070","GAS","69844bc167808c0c8bca85bf","2026-02-05T07:50:25.978000","2026-02-05T07:50:25.978000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"OTHER","","99","default-tenant","Other / Mixed Use","false","true","afebc075-df2b-4b6c-94c2-34763d0ac0fb","OTHER","69844bc167808c0c8bca85c0","2026-02-05T07:50:25.978000","2026-02-05T07:50:25.978000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"VEHICLES","","32","default-tenant","Vehicle Terminal (PCTC)","false","true","b4f902ad-7946-48c6-bcb8-89c92480fa0e","UNITIZED","69844bc167808c0c8bca85c1","2026-02-05T07:50:25.978000","2026-02-05T07:50:25.978000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"RORO","","31","default-tenant","Ro-Ro","false","true","268c56d6-cef1-4caa-a809-a4b09d861389","UNITIZED","69844bc167808c0c8bca85c2","2026-02-05T07:50:25.978000","2026-02-05T07:50:25.978000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"CONTAINERS","","30","default-tenant","Containers","false","true","eed272cb-e95f-4e35-bb47-2381e1f810d1","UNITIZED","69844bc167808c0c8bca85c3","2026-02-05T07:50:25.978000","2026-02-05T07:50:25.978000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"DRY_BULK","","20","default-tenant","Dry Bulk","false","true","a2c71d79-b489-4ba6-801b-0ad2d8161e43","DRY_BULK","69844bc167808c0c8bca85c4","2026-02-05T07:50:25.978000","2026-02-05T07:50:25.978000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
