can_read,table_name,can_insert,can_update,can_delete,application_role_id,id,created_date,updated_date,created_by_id,created_by,is_sample
"true","Vessel","true","true","true","69b3be52096630002ea9b660","69b3c1a8e75f2605ebe15e39","2026-03-13T07:50:00.170000","2026-03-13T07:50:00.170000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"true","Terminal","true","true","true","69b3be52096630002ea9b660","69b3c1a8e75f2605ebe15e3a","2026-03-13T07:50:00.170000","2026-03-13T07:50:00.170000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"true","Berth","true","true","true","69b3be52096630002ea9b660","69b3c1a8e75f2605ebe15e3b","2026-03-13T07:50:00.170000","2026-03-13T07:50:00.170000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"true","Document","true","true","true","69b3be52096630002ea9b660","69b3c1a8e75f2605ebe15e3c","2026-03-13T07:50:00.170000","2026-03-13T07:50:00.170000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"true","DocumentType","true","true","false","69b3be52096630002ea9b660","69b3c1a8e75f2605ebe15e3d","2026-03-13T07:50:00.170000","2026-03-13T07:50:00.170000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"true","DocumentCategory","true","true","false","69b3be52096630002ea9b660","69b3c1a8e75f2605ebe15e3e","2026-03-13T07:50:00.170000","2026-03-13T07:50:00.170000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"true","Company","true","true","true","69b3be52096630002ea9b660","69b3c1a8e75f2605ebe15e3f","2026-03-13T07:50:00.170000","2026-03-13T07:50:00.170000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"true","Contact","true","true","true","69b3be52096630002ea9b660","69b3c1a8e75f2605ebe15e40","2026-03-13T07:50:00.170000","2026-03-13T07:50:00.170000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"true","Country","false","false","false","69b3be52096630002ea9b660","69b3c1a8e75f2605ebe15e41","2026-03-13T07:50:00.170000","2026-03-13T07:50:00.170000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"true","IssuingAuthority","true","true","false","69b3be52096630002ea9b660","69b3c1a8e75f2605ebe15e42","2026-03-13T07:50:00.170000","2026-03-13T07:50:00.170000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
