tenantId,contactPublicId,contactId,systemTagId,systemTagPublicId,publicId,id,created_date,updated_date,created_by_id,created_by,is_sample
"default-tenant","571905e3-8513-4d4a-bce6-93e315a865cc","695943a2cb1988d10f6179ee","695948816e2f4c3869bd5d22","00000000-0000-0000-0001-000000000040","5c681183-458a-40f1-a95e-cd70aec38f73","6980aa8f149bed7eb7614461","2026-02-02T13:45:51.578000","2026-02-02T13:45:51.578000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"default-tenant","9002b8df-2940-45ce-9c22-6811364d6e8a","695931e663d0615e85dca6a0","695948816e2f4c3869bd5d11","00000000-0000-0000-0001-000000000003","29c6b3ba-eba0-4179-8801-37b3cb43b564","6980aa8f149bed7eb7614469","2026-02-02T13:45:51.578000","2026-02-02T13:45:51.578000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"default-tenant","571905e3-8513-4d4a-bce6-93e315a865cc","695943a2cb1988d10f6179ee","695948816e2f4c3869bd5d24","00000000-0000-0000-0001-000000000042","48e5b1a1-3054-426f-b660-70ea1d9c5e16","6980aa8f149bed7eb7614466","2026-02-02T13:45:51.578000","2026-02-02T13:45:51.578000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"default-tenant","571905e3-8513-4d4a-bce6-93e315a865cc","695943a2cb1988d10f6179ee","695948816e2f4c3869bd5d13","00000000-0000-0000-0001-000000000005","43e659b0-5986-4229-a94d-92fffcdc31be","6980aa8f149bed7eb7614467","2026-02-02T13:45:51.578000","2026-02-02T13:45:51.578000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"default-tenant","571905e3-8513-4d4a-bce6-93e315a865cc","695943a2cb1988d10f6179ee","695948816e2f4c3869bd5d23","00000000-0000-0000-0001-000000000041","d32cfabb-5809-4cd9-a221-11bd2f5b6afd","6980aa8f149bed7eb7614468","2026-02-02T13:45:51.578000","2026-02-02T13:45:51.578000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"default-tenant","571905e3-8513-4d4a-bce6-93e315a865cc","695943a2cb1988d10f6179ee","695948816e2f4c3869bd5d20","00000000-0000-0000-0001-000000000032","9e44640a-90f9-4619-a7f7-61ad13b7d2e6","6980aa8f149bed7eb7614463","2026-02-02T13:45:51.578000","2026-02-02T13:45:51.578000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"default-tenant","9002b8df-2940-45ce-9c22-6811364d6e8a","695931e663d0615e85dca6a0","695948816e2f4c3869bd5d23","00000000-0000-0000-0001-000000000041","3ac5fbfc-9f08-4b4b-a0c0-840c81f1fa15","6980aa8f149bed7eb7614462","2026-02-02T13:45:51.578000","2026-02-02T13:45:51.578000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"default-tenant","9002b8df-2940-45ce-9c22-6811364d6e8a","695931e663d0615e85dca6a0","695948816e2f4c3869bd5d22","00000000-0000-0000-0001-000000000040","e4ddedd0-1b10-416d-ab39-346bb0c01289","6980aa8f149bed7eb7614465","2026-02-02T13:45:51.578000","2026-02-02T13:45:51.578000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"default-tenant","9002b8df-2940-45ce-9c22-6811364d6e8a","695931e663d0615e85dca6a0","695948816e2f4c3869bd5d12","00000000-0000-0000-0001-000000000004","882aee47-020f-4604-8af8-bb49b23f11ee","6980aa8f149bed7eb761446a","2026-02-02T13:45:51.578000","2026-02-02T13:45:51.578000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"default-tenant","9002b8df-2940-45ce-9c22-6811364d6e8a","695931e663d0615e85dca6a0","695948816e2f4c3869bd5d13","00000000-0000-0000-0001-000000000005","57c52db9-f629-4180-b78a-c95c72f9a236","6980aa8f149bed7eb761446b","2026-02-02T13:45:51.578000","2026-02-02T13:45:51.578000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"default-tenant","571905e3-8513-4d4a-bce6-93e315a865cc","695943a2cb1988d10f6179ee","695948816e2f4c3869bd5d25","00000000-0000-0000-0001-000000000043","74d688ec-8eea-4ede-9ac1-0d582c32cee9","6980aa8f149bed7eb7614464","2026-02-02T13:45:51.578000","2026-02-02T13:45:51.578000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
