tenantId,alias,countryPublicId,isActive,publicId,countryId,id,created_date,updated_date,created_by_id,created_by,is_sample
"default-tenant","Islamic Republic of Iran","886b4d1a-aea9-46ba-ab8f-1bc32ff8f934","true","3dcea1b9-5e70-4b0f-9048-b5f7e790ace0","6953a8d314d9fb17da98184d","69846be5c6fe18a8ca07dab2","2026-02-05T10:07:33.018000","2026-02-05T10:07:33.018000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"default-tenant","Iran","886b4d1a-aea9-46ba-ab8f-1bc32ff8f934","true","c422c136-36d0-4773-991d-1c704a201670","6953a8d314d9fb17da98184d","69846be5c6fe18a8ca07dab3","2026-02-05T10:07:33.018000","2026-02-05T10:07:33.018000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"default-tenant","Russia","548a334b-9cd0-42f6-898a-248ab5a45663","true","f735617e-9a8e-43bb-8a5c-0e5743c5c010","6953a8d314d9fb17da98189f","69846be5c6fe18a8ca07dab4","2026-02-05T10:07:33.018000","2026-02-05T10:07:33.018000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"default-tenant","People's Republic of China","f17b3cff-4d1c-4f12-b71f-e592a25533ea","true","6f8f7eeb-0d8d-46e5-b335-26348e45246b","6953a8d314d9fb17da98180d","69846be5c6fe18a8ca07dab5","2026-02-05T10:07:33.018000","2026-02-05T10:07:33.018000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"default-tenant","PRC","f17b3cff-4d1c-4f12-b71f-e592a25533ea","true","a0b48259-a565-41a4-a8d5-a341223eef4d","6953a8d314d9fb17da98180d","69846be5c6fe18a8ca07dab6","2026-02-05T10:07:33.018000","2026-02-05T10:07:33.018000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"default-tenant","ROK","4e54e20b-db92-4bd3-8b8e-5a2ba4084d7d","true","1ce0b847-b873-41cc-a99a-1ce36599deb9","6953a8d314d9fb17da98185c","69846be5c6fe18a8ca07dab7","2026-02-05T10:07:33.018000","2026-02-05T10:07:33.018000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"default-tenant","Korea (South)","4e54e20b-db92-4bd3-8b8e-5a2ba4084d7d","true","84dc2a00-76e5-4e64-a18f-2d99f5701dc3","6953a8d314d9fb17da98185c","69846be5c6fe18a8ca07dab8","2026-02-05T10:07:33.018000","2026-02-05T10:07:33.018000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"default-tenant","Republic of Korea","4e54e20b-db92-4bd3-8b8e-5a2ba4084d7d","true","09bd07a4-4f40-482f-a5ee-a38b520d9677","6953a8d314d9fb17da98185c","69846be5c6fe18a8ca07dab9","2026-02-05T10:07:33.018000","2026-02-05T10:07:33.018000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"default-tenant","South Korea","4e54e20b-db92-4bd3-8b8e-5a2ba4084d7d","true","d19ba061-fa2d-41ae-b8f6-75ec195d0d31","6953a8d314d9fb17da98185c","69846be5c6fe18a8ca07daba","2026-02-05T10:07:33.018000","2026-02-05T10:07:33.018000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"default-tenant","England","550e8400-e29b-41d4-a716-446655440003","true","535ad7f0-141a-43f5-86d3-b7f1abcfb79a","6953a6fd33c70a0c53172814","69846be5c6fe18a8ca07dabb","2026-02-05T10:07:33.018000","2026-02-05T10:07:33.018000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"default-tenant","Britain","550e8400-e29b-41d4-a716-446655440003","true","9e5b7739-6f7d-4019-87d0-36b7c9ec15e3","6953a6fd33c70a0c53172814","69846be5c6fe18a8ca07dabc","2026-02-05T10:07:33.018000","2026-02-05T10:07:33.018000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"default-tenant","Great Britain","550e8400-e29b-41d4-a716-446655440003","true","7b6860d6-0963-4a25-b56c-536b5b889651","6953a6fd33c70a0c53172814","69846be5c6fe18a8ca07dabd","2026-02-05T10:07:33.018000","2026-02-05T10:07:33.018000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"default-tenant","U.K.","550e8400-e29b-41d4-a716-446655440003","true","daf6e827-975d-4a64-b213-63f6c8b8a305","6953a6fd33c70a0c53172814","69846be5c6fe18a8ca07dabe","2026-02-05T10:07:33.018000","2026-02-05T10:07:33.018000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"default-tenant","UK","550e8400-e29b-41d4-a716-446655440003","true","05f272ef-a5bd-4abb-b218-7964048b21b1","6953a6fd33c70a0c53172814","69846be5c6fe18a8ca07dabf","2026-02-05T10:07:33.018000","2026-02-05T10:07:33.018000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"default-tenant","America","550e8400-e29b-41d4-a716-446655440002","true","a167dc0b-45a2-468f-9900-e71a25e8ad05","6953a6fd33c70a0c53172813","69846be5c6fe18a8ca07dac0","2026-02-05T10:07:33.018000","2026-02-05T10:07:33.018000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"default-tenant","United States of America","550e8400-e29b-41d4-a716-446655440002","true","4e557e61-4bc0-4c36-a4d9-e2836f1b13c8","6953a6fd33c70a0c53172813","69846be5c6fe18a8ca07dac1","2026-02-05T10:07:33.018000","2026-02-05T10:07:33.018000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"default-tenant","U.S.","550e8400-e29b-41d4-a716-446655440002","true","7c6e4419-08c6-4b76-8a67-977da41b42fb","6953a6fd33c70a0c53172813","69846be5c6fe18a8ca07dac2","2026-02-05T10:07:33.018000","2026-02-05T10:07:33.018000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"default-tenant","US","550e8400-e29b-41d4-a716-446655440002","true","1ab4dd9a-2e46-4463-8c3a-6391c4c75720","6953a6fd33c70a0c53172813","69846be5c6fe18a8ca07dac3","2026-02-05T10:07:33.018000","2026-02-05T10:07:33.018000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"default-tenant","U.S.A.","550e8400-e29b-41d4-a716-446655440002","true","d0ee7bcc-f71b-4d98-9195-8e5251ea7878","6953a6fd33c70a0c53172813","69846be5c6fe18a8ca07dac4","2026-02-05T10:07:33.018000","2026-02-05T10:07:33.018000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"default-tenant","USA","550e8400-e29b-41d4-a716-446655440002","true","22370150-ea3f-4ece-b0c7-943ec77198af","6953a6fd33c70a0c53172813","69846be5c6fe18a8ca07dac5","2026-02-05T10:07:33.018000","2026-02-05T10:07:33.018000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
