terminalPublicId,isRequired,notes,berthId,documentTypeId,terminalId,isActive,priority,documentTypePublicId,appliesLevel,vesselConditionJson,tenantId,berthPublicId,submissionStage,effectiveFrom,publicId,isMandatory,validTo,id,created_date,updated_date,created_by_id,created_by,is_sample
"4f0b7257-35af-4c5f-9fdb-1bfb8778d8c4","true","","","6953ccd3387c6290433417a8","6953fcac5d840c079011f2dc","true","","de638a86-15fc-4aab-8417-84a356667250","Terminal","","default-tenant","","Registration","2026-01-09","613fc56e-9b4a-4c79-a88f-d6fa9c201bae","true","","697b591a6376aeeb75e07a9c","2026-01-29T12:56:58.177000","2026-01-29T12:56:58.177000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"4f0b7257-35af-4c5f-9fdb-1bfb8778d8c4","true","","","6960bdab57b7e1460ea9f261","6953fcac5d840c079011f2dc","true","","67d3d808-186f-46de-815a-743c03767a95","Terminal","","default-tenant","","Registration","2026-01-09","e809ea5d-be1a-4171-92f5-b5f948d8b0d7","true","","697b591a6376aeeb75e07a9d","2026-01-29T12:56:58.177000","2026-01-29T12:56:58.177000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"4f0b7257-35af-4c5f-9fdb-1bfb8778d8c4","true","","","6960bdaaa6b733086dc1d526","6953fcac5d840c079011f2dc","true","","3d220df1-1aa5-4e3c-ae3d-8095c67d4f7a","Terminal","","default-tenant","","Registration","2026-01-09","9da271c6-cf67-4c05-914f-741bb952b28d","true","","697b591a6376aeeb75e07a9e","2026-01-29T12:56:58.177000","2026-01-29T12:56:58.177000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"4f0b7257-35af-4c5f-9fdb-1bfb8778d8c4","true","","","6953ccd639d77e9c4cd19d1f","6953fcac5d840c079011f2dc","true","","bf6d217b-f0c0-427a-bd59-ef08da4d1bd8","Terminal","","default-tenant","","Registration","2026-01-09","88ec347d-8dee-47bb-ba2c-a1085fcf99b7","true","","697b591a6376aeeb75e07a9f","2026-01-29T12:56:58.177000","2026-01-29T12:56:58.177000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"4f0b7257-35af-4c5f-9fdb-1bfb8778d8c4","true","","","6953cccdcc3919f49b384d90","6953fcac5d840c079011f2dc","true","","8b1a4a35-5722-4f17-8a96-af35fda82bb8","Terminal","","default-tenant","","Registration","2026-01-09","055fbc02-8453-4acd-a2a6-60e29199a659","true","","697b591a6376aeeb75e07aa0","2026-01-29T12:56:58.177000","2026-01-29T12:56:58.177000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"f390f4d1-2434-4489-ac05-11bcc73b06c5","true","","","695ce2bcf21cc0bd5a8c8282","6953fcac5d840c079011f311","true","0","c3097fab-127f-437a-a387-64ea17ff6de7","Terminal","","default-tenant","","PreVisit","2026-01-01","3d2e0940-ad99-4ce4-837a-e98bd50063e5","true","","697b591a6376aeeb75e07aa1","2026-01-29T12:56:58.177000","2026-01-29T12:56:58.177000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"f390f4d1-2434-4489-ac05-11bcc73b06c5","true","","","6960bdad7852d992c4499479","6953fcac5d840c079011f311","true","0","f1243fb0-f760-4ecb-b88d-2f403f1d8f52","Terminal","","default-tenant","","PreVisit","2026-01-01","96d811bc-f8d8-425b-b974-445765c0469e","true","","697b591a6376aeeb75e07aa2","2026-01-29T12:56:58.177000","2026-01-29T12:56:58.177000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"f390f4d1-2434-4489-ac05-11bcc73b06c5","true","","","6960bdad3e7788c1b84b5267","6953fcac5d840c079011f311","true","0","fe004d26-6249-46aa-ba57-7c712ab36916","Terminal","","default-tenant","","PreVisit","2026-01-01","48482676-18c2-47a8-b255-05cff32d3d7d","true","","697b591a6376aeeb75e07aa3","2026-01-29T12:56:58.177000","2026-01-29T12:56:58.177000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"f390f4d1-2434-4489-ac05-11bcc73b06c5","true","","","6960bdac45ca06451795c57f","6953fcac5d840c079011f311","true","0","46dcbda1-f7d9-4191-b417-da5fb26198d5","Terminal","","default-tenant","","Renewal","2026-01-01","27e1fac0-c807-4f70-ae99-da7393aab449","true","","697b591a6376aeeb75e07aa4","2026-01-29T12:56:58.177000","2026-01-29T12:56:58.177000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"f390f4d1-2434-4489-ac05-11bcc73b06c5","true","","","6960bdabab6b205479db300a","6953fcac5d840c079011f311","true","0","add4ef3c-b9b7-4189-ab0a-ab7f130d6d2e","Terminal","","default-tenant","","Renewal","2026-01-01","455b485c-4656-44aa-92e1-8ad1467bf6c0","true","","697b591a6376aeeb75e07aa5","2026-01-29T12:56:58.177000","2026-01-29T12:56:58.177000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
