website,notes,countryPublicId,hqCity,mainContactId,type,isActive,hqCountryId,countryId,hqPostalCode,legalName,phone,iacsMember,sortOrder,tenantId,name,hqAddressLine1,publicId,email,mainContactPublicId,id,created_date,updated_date,created_by_id,created_by,is_sample
"https://www.insw.com","Tanker and LNG shipping operator.","","New York","","Operator","true","6953a6fd33c70a0c53172813","","10016","International Seaways, Inc.","","false","","default-tenant","International Seaways","600 Third Avenue, 39th Floor","d7db0b23-c94b-4c19-969e-f68f94df3163","","","697c5ff1b40996a288059ca4","2026-01-30T07:38:25.363000","2026-01-30T07:38:25.363000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"https://www.nakilat.com","","f84447ae-1b75-40aa-94b2-e8f270612276","","","Owner","true","","6953a8d314d9fb17da98189c","","","","false","","default-tenant","Nakilat","","0c52bcd5-713c-45c3-a65f-5687aaf843d4","","","697c5ff1b40996a288059cb4","2026-01-30T07:38:25.363000","2026-01-30T07:38:25.363000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"https://www.spectec.ae","","550e8400-e29b-41d4-a716-446655440001","","","Owner","true","","6953a6fd33c70a0c53172812","","","","false","","default-tenant","SpecTec Middle East","","b89eb8a5-f42c-4199-8289-7db629a56fb2","","","697c5ff1b40996a288059cb6","2026-01-30T07:38:25.363000","2026-01-30T07:38:25.363000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"https://www.glencore.com","Global LNG and commodity trader.","","Baar","","Other","true","6953a8d314d9fb17da98180b","","6340","Glencore plc","","false","","default-tenant","Glencore","Baarermattstrasse 3","87e1217c-354f-40c0-92d8-cd401b957ce3","","","697c5ff1b40996a288059ca1","2026-01-30T07:38:25.363000","2026-01-30T07:38:25.363000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"https://www.kline.co.jp","LNG vessel owner and operator.","","Tokyo","","Owner","true","6953a8d314d9fb17da981855","","100-8540","Kawasaki Kisen Kaisha, Ltd.","","false","","default-tenant","K Line","Iino Building, 1-1-1 Uchisaiwaicho, Chiyoda-ku","f8023678-8ad3-43b2-b1b0-98bd756940a0","","","697c5ff1b40996a288059ca7","2026-01-30T07:38:25.363000","2026-01-30T07:38:25.363000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"https://www.rina.org","Head office.","","Genova","","Authority","true","6953a8d314d9fb17da981851","","16128","RINA S.p.A.","+39 010 53851","true","","default-tenant","RINA","Via Corsica, 12","6d8f4a6c-4819-4db7-91ed-97d26f16ba96","","","697c5ff1b40996a288059cae","2026-01-30T07:38:25.363000","2026-01-30T07:38:25.363000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"https://www.pronavship.com","Technical and ship management partner.","","Mumbai","","Service Provider","true","6953a8d314d9fb17da98184a","","400021","Pronav Ship Management Pvt. Ltd.","","false","","default-tenant","Pronav","1st Floor, Raheja Chambers, Nariman Point","a7db93c1-6a3b-463d-87c1-9761a0114554","","","697c5ff1b40996a288059ca3","2026-01-30T07:38:25.363000","2026-01-30T07:38:25.363000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"https://marine-offshore.bureauveritas.com","Registered office for BV Marine & Offshore website publisher.","","Courbevoie","","Authority","true","6953a8d314d9fb17da98182d","","92400","Bureau Veritas Marine & Offshore, SAS (registered office)","+33 1 55 24 70 00","true","","default-tenant","Bureau Veritas","Tour Alto, 4 Place des Saisons","bab11531-0a95-4e81-9348-2487abfbee96","","","697c5ff1b40996a288059caf","2026-01-30T07:38:25.363000","2026-01-30T07:38:25.363000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"https://www.lr.org","Registered office address used as HQ reference.","","London","","Authority","true","6953a6fd33c70a0c53172814","","EC3M 4BS","Lloyd's Register Group Services Limited (registered office)","","true","","default-tenant","Lloyd's Register","71 Fenchurch Street","d34909a1-1516-498c-9da8-3032bb70bcec","","","697c5ff1b40996a288059cb1","2026-01-30T07:38:25.363000","2026-01-30T07:38:25.363000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"https://www.shell.com","LNG charterer and trader (via STASCO).","","London","","Other","true","6953a6fd33c70a0c53172814","","SE1 7NA","Shell plc","","false","","default-tenant","Shell","Shell Centre, York Road","cc2565d7-a677-42f6-a8ad-5556ecdddfd8","","","697c5ff1b40996a288059ca2","2026-01-30T07:38:25.363000","2026-01-30T07:38:25.363000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
