can_execute,notes,application_role_id,function_name,id,created_date,updated_date,created_by_id,created_by,is_sample
"true","","69b3be52096630002ea9b661","vessel.edit","69b3c093545fa9ac3646c1e5","2026-03-13T07:45:23.753000","2026-03-13T07:45:23.753000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"true","","69b3be52096630002ea9b661","vessel.document.upload","69b3c093545fa9ac3646c1e6","2026-03-13T07:45:23.753000","2026-03-13T07:45:23.753000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"true","","69b3be52096630002ea9b661","registration.run","69b3c093545fa9ac3646c1e7","2026-03-13T07:45:23.753000","2026-03-13T07:45:23.753000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"true","","69b3be52096630002ea9b661","registration.approve","69b3c093545fa9ac3646c1e8","2026-03-13T07:45:23.753000","2026-03-13T07:45:23.753000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"true","","69b3be52096630002ea9b661","registration.reject","69b3c093545fa9ac3646c1e9","2026-03-13T07:45:23.753000","2026-03-13T07:45:23.753000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"true","","69b3be52096630002ea9b661","compatibility.execute","69b3c093545fa9ac3646c1ea","2026-03-13T07:45:23.753000","2026-03-13T07:45:23.753000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"true","","69b3be52096630002ea9b661","company.create","69b3c093545fa9ac3646c1eb","2026-03-13T07:45:23.753000","2026-03-13T07:45:23.753000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"true","","69b3be52096630002ea9b661","company.edit","69b3c093545fa9ac3646c1ec","2026-03-13T07:45:23.753000","2026-03-13T07:45:23.753000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"true","","69b3be52096630002ea9b661","contact.create","69b3c093545fa9ac3646c1ed","2026-03-13T07:45:23.753000","2026-03-13T07:45:23.753000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"true","","69b3be52096630002ea9b661","contact.edit","69b3c093545fa9ac3646c1ee","2026-03-13T07:45:23.753000","2026-03-13T07:45:23.753000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"true","","69b3be52096630002ea9b661","document.upload","69b3c093545fa9ac3646c1ef","2026-03-13T07:45:23.753000","2026-03-13T07:45:23.753000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"true","","69b3be52096630002ea9b661","terminal.complex.create","69b3c093545fa9ac3646c1dc","2026-03-13T07:45:23.752000","2026-03-13T07:45:23.752000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"true","","69b3be52096630002ea9b661","terminal.complex.edit","69b3c093545fa9ac3646c1dd","2026-03-13T07:45:23.752000","2026-03-13T07:45:23.752000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"true","","69b3be52096630002ea9b661","terminal.create","69b3c093545fa9ac3646c1de","2026-03-13T07:45:23.752000","2026-03-13T07:45:23.752000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"true","","69b3be52096630002ea9b661","terminal.edit","69b3c093545fa9ac3646c1df","2026-03-13T07:45:23.752000","2026-03-13T07:45:23.752000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"true","","69b3be52096630002ea9b661","terminal.archive","69b3c093545fa9ac3646c1e0","2026-03-13T07:45:23.752000","2026-03-13T07:45:23.752000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"true","","69b3be52096630002ea9b661","berth.create","69b3c093545fa9ac3646c1e1","2026-03-13T07:45:23.752000","2026-03-13T07:45:23.752000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"true","","69b3be52096630002ea9b661","berth.edit","69b3c093545fa9ac3646c1e2","2026-03-13T07:45:23.752000","2026-03-13T07:45:23.752000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
