comments,documentTypeId,validFrom,requirementPublicId,documentTypePublicId,applicationPublicId,tenantId,matchedVesselDocumentPublicId,applicationId,requirementId,evaluationStatus,publicId,isMandatory,matchedVesselDocumentId,id,created_date,updated_date,created_by_id,created_by,is_sample
"","6953ccd639d77e9c4cd19d1f","2026-01-08","55040d2f-8ab4-4525-9b0f-eab39cfaa378","bf6d217b-f0c0-427a-bd59-ef08da4d1bd8","63eb445a-3da6-4ba5-aeed-3e4a4426c5d0","default-tenant","","6961038acd162f2a7646de82","695f87af4158498aff380213","MISSING","4131badd-7d9e-44a0-93db-30fbfcd09975","true","","698491d379192e803f7a2323","2026-02-05T12:49:23.222000","2026-02-05T12:49:23.222000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"","6953ccd3387c6290433417a8","2026-01-08","7a8ade53-e334-4cc0-95d1-71eb2c1492ca","de638a86-15fc-4aab-8417-84a356667250","63eb445a-3da6-4ba5-aeed-3e4a4426c5d0","default-tenant","","6961038acd162f2a7646de82","695f87afb8f0f4324e1e7e99","MISSING","ad45423d-be6e-4f0a-a795-a5bb83f04582","true","","698491d379192e803f7a2324","2026-02-05T12:49:23.222000","2026-02-05T12:49:23.222000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"","6953ccd51b7a6c41361addfe","2026-01-08","0d3ebf9d-6950-413c-9c07-8ba967a137de","f94ce3ea-b22c-4f22-a9a0-709b90ff0785","63eb445a-3da6-4ba5-aeed-3e4a4426c5d0","default-tenant","","6961038acd162f2a7646de82","695f87af1bb4b31969848e25","MISSING","0c56f920-b349-4898-82c6-de93c988516f","true","","698491d379192e803f7a2325","2026-02-05T12:49:23.222000","2026-02-05T12:49:23.222000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"","6960bda9f9d6201582bda935","2026-01-01","2338c0af-9240-456c-8bfd-41c2b57091a4","a72e7741-0883-4e7a-a44b-291b42334021","63eb445a-3da6-4ba5-aeed-3e4a4426c5d0","default-tenant","abd087ea-29ee-48c3-9e30-48a1289d0e80","6961038acd162f2a7646de82","6960be62c25fd03926d7f433","SATISFIED","a8cc040a-2b4e-4f1e-b28b-390b66238b0a","true","6960be6e4e16180925c6d768","698491d379192e803f7a2326","2026-02-05T12:49:23.222000","2026-02-05T12:49:23.222000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"","6960bda9d1d9ec4b67ea2354","2026-01-01","5da09093-1fe4-46ad-a2d9-13fc587e89d7","da2a8d3a-95a3-4499-893d-4719b6b0c547","63eb445a-3da6-4ba5-aeed-3e4a4426c5d0","default-tenant","dc4ba1d6-15fe-4eaf-85e6-09512b6966ef","6961038acd162f2a7646de82","6960be627b7a38f81709618a","SATISFIED","d0083bf4-2330-483e-aba5-6e70183d4457","true","6960be6e1a1b40b55936cbce","698491d379192e803f7a2327","2026-02-05T12:49:23.222000","2026-02-05T12:49:23.222000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"","6953ccd51b7a6c41361addfe","2026-01-08","05a0a4f2-5488-43c7-b516-70714e4cf14e","f94ce3ea-b22c-4f22-a9a0-709b90ff0785","6cbe8f58-15e1-468f-8ba0-f38c4a0afdce","default-tenant","","696101333e0ae9d8598e74d8","695f87bed99ec87e61e6e318","MISSING","9356dfcf-c6ff-4b58-a786-b3e645f1549e","true","","698491d379192e803f7a2328","2026-02-05T12:49:23.222000","2026-02-05T12:49:23.222000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"","6953cccdcc3919f49b384d90","2026-01-08","55d71237-cbf3-4461-8691-3d2f65ad722c","8b1a4a35-5722-4f17-8a96-af35fda82bb8","6cbe8f58-15e1-468f-8ba0-f38c4a0afdce","default-tenant","","696101333e0ae9d8598e74d8","695f87ae1acd9cf9b054aa8d","MISSING","51cd1b75-938e-4ad0-8fed-9e6363770406","true","","698491d379192e803f7a2329","2026-02-05T12:49:23.222000","2026-02-05T12:49:23.222000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"","695ce2b91989069e80490ca0","2026-01-08","6373df37-34c4-4e96-a501-d4a1541b5e41","d817690e-b5cf-435b-b8b9-666dfde5e154","6cbe8f58-15e1-468f-8ba0-f38c4a0afdce","default-tenant","","696101333e0ae9d8598e74d8","695f87aed96f3aa4828d41cb","MISSING","ab825fcc-98fe-4a68-860d-babee31e24ce","true","","698491d379192e803f7a232a","2026-02-05T12:49:23.222000","2026-02-05T12:49:23.222000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"","6953ccd639d77e9c4cd19d1f","2026-01-08","55040d2f-8ab4-4525-9b0f-eab39cfaa378","bf6d217b-f0c0-427a-bd59-ef08da4d1bd8","6cbe8f58-15e1-468f-8ba0-f38c4a0afdce","default-tenant","","696101333e0ae9d8598e74d8","695f87af4158498aff380213","MISSING","254045c4-0bbc-4061-8626-0d077b59a7c1","true","","698491d379192e803f7a232b","2026-02-05T12:49:23.222000","2026-02-05T12:49:23.222000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"","6953ccd3387c6290433417a8","2026-01-08","7a8ade53-e334-4cc0-95d1-71eb2c1492ca","de638a86-15fc-4aab-8417-84a356667250","6cbe8f58-15e1-468f-8ba0-f38c4a0afdce","default-tenant","","696101333e0ae9d8598e74d8","695f87afb8f0f4324e1e7e99","MISSING","a32aeb86-8425-4c85-8fb8-d833189305d8","true","","698491d379192e803f7a232c","2026-02-05T12:49:23.222000","2026-02-05T12:49:23.222000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
