tenantId,intentId,intentPublicId,phrase,isActive,publicId,id,created_date,updated_date,created_by_id,created_by,is_sample
"global","6964d17ae0f42b0794584ff6","a8591cff-e80d-4f59-a04b-5ccc8b5c13d3","missing documents registration","true","444b664e-cca3-4f70-8240-02d6711b20bd","69846da4339f247de4e3ca6a","2026-02-05T10:15:00.013000","2026-02-05T10:15:00.013000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"global","6964d17afe269426d2c55f57","ba550bed-6fa3-4946-abc0-955306513fec","do i need to re register","true","b19c08e6-ac54-4cf1-9c7a-e4606593dd94","69846da4339f247de4e3ca6b","2026-02-05T10:15:00.013000","2026-02-05T10:15:00.013000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"global","6964d17ae0f42b0794584ff6","a8591cff-e80d-4f59-a04b-5ccc8b5c13d3","why registration fails","true","1bded12a-2ed0-4345-9c23-7b96e745b18b","69846da4339f247de4e3ca6c","2026-02-05T10:15:00.013000","2026-02-05T10:15:00.013000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"global","6964d1797179104b3576b43a","5ff77da6-cc93-4ed2-bf66-a9a0e72ff9fa","what is terminal registration","true","d7cc87b9-29c1-4c2d-ac8a-1f520d472725","69846da4339f247de4e3ca6d","2026-02-05T10:15:00.013000","2026-02-05T10:15:00.013000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"global","6964d17ae0f42b0794584ff6","a8591cff-e80d-4f59-a04b-5ccc8b5c13d3","expired documents","true","0b353953-6d1e-4a3c-9418-d621141b5b68","69846da4339f247de4e3ca6e","2026-02-05T10:15:00.013000","2026-02-05T10:15:00.013000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"global","6964d17a2dfe424a743d86d9","a69b03c0-ef3d-4ea6-885b-4c4592e3a677","compatible with restrictions","true","aee6774c-e4d9-43d5-bd8c-9607ad0eeedd","69846da4339f247de4e3ca6f","2026-02-05T10:15:00.013000","2026-02-05T10:15:00.013000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"global","6964d17abe7154a0ccde39f5","b396a23c-ac59-4505-b288-e83e16284045","terminal approval berth","true","52cf6c5f-3fac-4686-bb59-af303f746f0f","69846da4339f247de4e3ca70","2026-02-05T10:15:00.013000","2026-02-05T10:15:00.013000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"global","6964d17ae0f42b0794584ff6","a8591cff-e80d-4f59-a04b-5ccc8b5c13d3","registration blocked","true","3091d941-803b-4671-971e-ef8f5fbe5449","69846da4339f247de4e3ca71","2026-02-05T10:15:00.013000","2026-02-05T10:15:00.013000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"global","6964d1797179104b3576b43a","5ff77da6-cc93-4ed2-bf66-a9a0e72ff9fa","how does registration work","true","4efbde59-1ec5-4450-9847-762ab2ef8cfc","69846da4339f247de4e3ca72","2026-02-05T10:15:00.013000","2026-02-05T10:15:00.013000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"global","6964d1797179104b3576b43a","5ff77da6-cc93-4ed2-bf66-a9a0e72ff9fa","how to register vessel","true","9db297ab-9271-4dd5-a47a-4189adff6353","69846da4339f247de4e3ca73","2026-02-05T10:15:00.013000","2026-02-05T10:15:00.013000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"global","6964d17a2dfe424a743d86d9","a69b03c0-ef3d-4ea6-885b-4c4592e3a677","what does restrictions mean","true","26ecb050-d38c-4528-9584-810ca028ce70","69846da4339f247de4e3ca74","2026-02-05T10:15:00.013000","2026-02-05T10:15:00.013000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"global","6964d17abe7154a0ccde39f5","b396a23c-ac59-4505-b288-e83e16284045","whats the difference between terminal and berth","true","eee80d1b-c88b-4c86-a306-a5d8cdac0481","69846da4339f247de4e3ca75","2026-02-05T10:15:00.013000","2026-02-05T10:15:00.013000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"global","6964d1797179104b3576b43a","5ff77da6-cc93-4ed2-bf66-a9a0e72ff9fa","registration process","true","5b8e75e7-0bd7-481a-809d-85e3b7b5af89","69846da4339f247de4e3ca76","2026-02-05T10:15:00.013000","2026-02-05T10:15:00.013000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"global","6964d17abe7154a0ccde39f5","b396a23c-ac59-4505-b288-e83e16284045","approved terminal but not berth","true","83a59489-76a4-4e10-aa9a-a642b862517a","69846da4339f247de4e3ca60","2026-02-05T10:15:00.012000","2026-02-05T10:15:00.012000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"global","6964d17afe269426d2c55f57","ba550bed-6fa3-4946-abc0-955306513fec","upload new document","true","68fa5160-7ad5-4559-a71e-fa72488a6314","69846da4339f247de4e3ca61","2026-02-05T10:15:00.012000","2026-02-05T10:15:00.012000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"global","6964d17932e426696a025d0d","f5cc7df4-b625-4d9e-8ff4-699555875820","what do the statuses mean","true","1018dd84-dc74-420e-bbda-2b3d40c15cd1","69846da4339f247de4e3ca62","2026-02-05T10:15:00.012000","2026-02-05T10:15:00.012000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"global","6964d179b9d32cea209d5332","1b1d4e31-e83d-4100-856d-850045a37ea5","why cant i delete","true","2b92ca52-29ef-486c-90f0-e581b07b07a6","69846da4339f247de4e3ca63","2026-02-05T10:15:00.012000","2026-02-05T10:15:00.012000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"global","6964d17a2dfe424a743d86d9","a69b03c0-ef3d-4ea6-885b-4c4592e3a677","manifold height","true","f4030e05-d9eb-422b-b4cd-eb32a055564d","69846da4339f247de4e3ca64","2026-02-05T10:15:00.012000","2026-02-05T10:15:00.012000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"global","6964d17afe269426d2c55f57","ba550bed-6fa3-4946-abc0-955306513fec","how to update documents","true","74de1e97-afc2-4db6-8e7a-382070fe1279","69846da4339f247de4e3ca65","2026-02-05T10:15:00.012000","2026-02-05T10:15:00.012000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
